"";"Inverter: INV 1 (#1, 1/21010730236TJ9902137)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BiDirectionalMeter: MET 1 (#2, 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"";"Pac (W)";"Pdc1 (W)";"Pdc2 (W)";"Pdc3 (W)";"Yield (Wh)";"Udc1 (V)";"Udc2 (V)";"Udc3 (V)";"Temperature (°C)";"Uac (V)";"Status";"Error";"Iac (mA)";"Idc1 (mA)";"Idc2 (mA)";"Idc3 (mA)";"Pdc4 (W)";"Idc4 (mA)";"Udc4 (V)";"Pac (W)";"Yield (Wh)";"Status";"Error";"Etotal_C (WattEver)";"Pac1 (W)";"Pac2 (W)";"Pac3 (W)";"Uac1 (V)";"Uac2 (V)";"Uac3 (V)";"Qac1 (var)";"Qac2 (var)";"Qac3 (var)";"Iac1 (mA)";"Iac2 (mA)";"Iac3 (mA)";"Fac (Hz)";"Cos(Phi)";"Pac raw (W)";"Etotal Forward (Wh)";"Etotal Reverse (Wh)";"Etotal Raw (Wh)";
"2019-06-29 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"56";"0";"1";"0";"0";"-836";"440";"148";"239";"237";"238";"384";"0";"284";"-3860";"2000";"1400";"50.030";"0.505";"-236";"3732750";"983330";"2749438";
"2019-06-29 00:05:00";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"-880";"458";"82";"238";"236";"236";"400";"12";"166";"-4000";"2060";"860";"49.980";"0.503";"-338";"3732750";"983360";"2749407";
"2019-06-29 00:10:00";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"24";"2";"1";"0";"72";"-880";"558";"146";"237";"235";"235";"400";"80";"130";"-4000";"2400";"800";"49.990";"0.321";"-140";"3732750";"983370";"2749386";
"2019-06-29 00:15:00";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"30";"4";"1";"0";"162";"-760";"520";"156";"236";"235";"236";"380";"80";"100";"-3700";"2400";"680";"50.010";"0.186";"-48";"3732760";"983380";"2749373";
"2019-06-29 00:20:00";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"10";"5";"1";"0";"192";"-758";"496";"134";"236";"235";"236";"386";"60";"66";"-3600";"2220";"580";"50.010";"0.219";"-84";"3732760";"983390";"2749378";
"2019-06-29 00:25:00";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"24";"7";"1";"0";"264";"-760";"440";"156";"236";"236";"236";"398";"0";"100";"-3600";"1860";"700";"50.020";"0.399";"-128";"3732760";"983400";"2749363";
"2019-06-29 00:30:00";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"240";"27";"1";"0";"985";"-468";"438";"192";"236";"235";"236";"330";"0";"160";"-2600";"1880";"1000";"50.030";"0.563";"170";"3732780";"983410";"2749357";
"2019-06-29 00:35:00";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"360";"57";"1";"0";"2060";"-194";"438";"120";"237";"235";"236";"280";"0";"40";"-1600";"1880";"400";"50.010";"0.756";"360";"3732810";"983410";"2749387";
"2019-06-29 00:40:00";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"360";"87";"1";"0";"3135";"-184";"438";"120";"237";"236";"236";"280";"0";"40";"-1600";"1820";"420";"50.020";"0.758";"360";"3732850";"983410";"2749422";
"2019-06-29 00:45:00";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"358";"116";"1";"0";"4204";"-190";"438";"118";"237";"235";"237";"280";"0";"44";"-1120";"1860";"400";"50.030";"0.750";"358";"3732880";"983410";"2749454";
"2019-06-29 00:50:00";"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"272";"139";"1";"0";"5007";"-440";"460";"192";"237";"236";"236";"326";"14";"160";"-1980";"1840";"1000";"50.030";"0.556";"216";"3732900";"983420";"2749482";
"2019-06-29 00:55:00";"0";"0";"0";"0";"0";"0";"0";"0";"38";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"6";"139";"1";"0";"5025";"-720";"558";"130";"237";"235";"236";"360";"80";"56";"-3600";"2400";"540";"50.020";"0.097";"-28";"3732900";"983420";"2749480";
"2019-06-29 01:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"38";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"32";"142";"1";"0";"5114";"-744";"522";"156";"238";"236";"237";"354";"80";"100";"-3600";"2400";"700";"50.020";"0.152";"-30";"3732910";"983430";"2749487";
